Samplename	experimental_strategy	disease	count	bedlength	TMB
BS_0ATJ22QA	WGS	HGAT	16	1924036587	0.008315850180867689
BS_1MME7FBS	WGS	HGAT	18	1924036587	0.009355331453476149
BS_1Q524P3B	WGS	HGAT	32	1924036587	0.016631700361735377
BS_22VCR7DF	WGS	HGAT	39	1924036587	0.020269884815864992
BS_3VKW5988	WGS	HGAT	6	1924036587	0.003118443817825383
BS_5968GBGT	WGS	HGAT	11	1924036587	0.005717146999346535
BS_AF5D41PD	WGS	HGAT	7	1924036587	0.0036381844541296137
BS_AK9BV52G	WGS	HGAT	22	1924036587	0.01143429399869307
BS_D6STCMQS	WGS	HGAT	27	1924036587	0.014032997180214224
BS_EE73VE7V	WGS	HGAT	2	1924036587	0.001039481272608461
BS_H8NWA41N	WGS	HGAT	16	1924036587	0.008315850180867689
BS_HEJ72V3F	WGS	HGAT	28	1924036587	0.014552737816518455
BS_HYKV2TH9	WGS	HGAT	12	1924036587	0.006236887635650766
BS_J8EH1N7V	WGS	HGAT	16	1924036587	0.008315850180867689
BS_J8EK6RNF	WGS	HGAT	36	1924036587	0.018710662906952297
BS_M5FM63EB	WGS	HGAT	20	1924036587	0.01039481272608461
BS_X5VN0FW0	WGS	HGAT	26	1924036587	0.013513256543909993
BS_Y74XAFJX	WGS	HGAT	17	1924036587	0.00883559081717192
BS_YHXMYDBN	WGS	HGAT	28	1924036587	0.014552737816518455
BS_ZSH09N84	WGS	HGAT	17	1924036587	0.00883559081717192
