Samplename	experimental_strategy	disease	count	bedlength	TMB
BS_0AK4F99X	WGS	HGAT	6	1924036587	0.003118443817825383
BS_1MME7FBS	WGS	HGAT	18	1924036587	0.009355331453476149
BS_2NDRETB2	WGS	HGAT	8	1924036587	0.004157925090433844
BS_38CD519Z	WGS	HGAT	9	1924036587	0.004677665726738074
BS_3VKW5988	WGS	HGAT	6	1924036587	0.003118443817825383
BS_4DYW3T2A	WGS	HGAT	16	1924036587	0.008315850180867689
BS_4PM2QG9C	WGS	HGAT	3	1924036587	0.0015592219089126916
BS_5Z0GA574	WGS	HGAT	7	1924036587	0.0036381844541296137
BS_682Z7WH6	WGS	HGAT	14	1924036587	0.0072763689082592274
BS_7GKF6M85	WGS	HGAT	15	1924036587	0.0077961095445634575
BS_7PF3C1P7	WGS	HGAT	8	1924036587	0.004157925090433844
BS_8SYN7GXG	WGS	HGAT	22	1924036587	0.01143429399869307
BS_B19AWBBW	WGS	HGAT	12	1924036587	0.006236887635650766
BS_B4PPG3X5	WGS	HGAT	8	1924036587	0.004157925090433844
BS_CGXTFM67	WGS	HGAT	5	1924036587	0.0025987031815211527
BS_FK3B5SDH	WGS	HGAT	4	1924036587	0.002078962545216922
BS_G65EA38C	WGS	HGAT	14	1924036587	0.0072763689082592274
BS_H8NWA41N	WGS	HGAT	16	1924036587	0.008315850180867689
BS_JD05XR6E	WGS	HGAT	13	1924036587	0.0067566282719549965
BS_JDZX545X	WGS	HGAT	9	1924036587	0.004677665726738074
BS_JRFVST47	WGS	HGAT	10	1924036587	0.005197406363042305
BS_KQRAHH6Y	WGS	HGAT	12	1924036587	0.006236887635650766
BS_M5FM63EB	WGS	HGAT	20	1924036587	0.01039481272608461
BS_NNFDFAFM	WGS	HGAT	13	1924036587	0.0067566282719549965
BS_Q6GVRAWK	WGS	HGAT	7	1924036587	0.0036381844541296137
BS_QFH9XM6Q	WGS	HGAT	17	1924036587	0.00883559081717192
BS_RWJ0571Q	WGS	HGAT	24	1924036587	0.012473775271301533
BS_TQ0J7WJQ	WGS	HGAT	10	1924036587	0.005197406363042305
BS_VCE73HPW	WGS	HGAT	9	1924036587	0.004677665726738074
BS_Y96RP1HJ	WGS	HGAT	17	1924036587	0.00883559081717192
BS_Z3AB3KMP	WGS	HGAT	12	1924036587	0.006236887635650766
BS_ZSH09N84	WGS	HGAT	17	1924036587	0.00883559081717192
BS_CD7AXQM8	WGS	HGAT	0	0	0
